datetime,tamin_degC,tamax_degC,ptot_mm
1980-01-01,-20.85189941,-12.268184928894042,0.5441852807998657
1980-01-02,-24.45323875,-14.933543472290038,0.4112038016319275
1980-01-03,-24.22745827,-15.499858169555663,0.3913516104221344
1980-01-04,-28.68301323,-21.82656791687012,0.0
1980-01-05,-32.84265259,-27.615716247558595,0.0
1980-01-06,-33.403909,-29.15445640563965,0.9275821447372437
1980-01-07,-34.2393811,-24.174304275512696,0.0
1980-01-08,-29.59001854,-23.76199272155762,0.0062436689622700214
1980-01-09,-30.89927223,-25.162413864135743,0.2151675820350647
1980-01-10,-31.4047654,-25.57699516296387,0.011720639653503895
1980-01-11,-29.98285606,-13.888340263366699,5.648658752441406
1980-01-12,-22.19279793,-11.031246452331542,10.247514724731445
1980-01-13,-26.71200111,-20.098090438842775,2.0668182373046875
1980-01-14,-25.9226506,-10.290896682739257,4.777249813079834
1980-01-15,-21.29281357,-14.101037292480468,0.04893331974744797
1980-01-16,-21.34172562,-6.186092643737793,4.489286422729492
1980-01-17,-13.05419758,-4.0616801071166995,0.25612640380859375
1980-01-18,-12.72888973,-6.512420444488526,0.12155233323574066
1980-01-19,-17.92274788,-8.059807567596435,0.4547630846500397
1980-01-20,-23.68947723,-14.502197532653808,2.18630313873291
1980-01-21,-24.96621826,-20.46021583557129,0.34240686893463135
1980-01-22,-26.88602379,-23.170056610107423,2.11555552482605
1980-01-23,-32.30021217,-15.153804092407226,0.012491879984736443
1980-01-24,-16.71675232,-2.0226682710647585,0.0
1980-01-25,-11.44923237,-3.1553952980041506,0.08859667181968689
1980-01-26,-13.06528214,-5.63103178024292,0.2684469521045685
1980-01-27,-22.55653122,-10.30722930908203,1.9766836166381836
1980-01-28,-24.92946365,-18.216668395996095,0.12974242866039276
1980-01-29,-24.49101952,-19.25344207763672,1.98893404006958
1980-01-30,-26.4783757,-22.634534149169923,0.0
1980-01-31,-27.52388313,-22.485635070800782,0.21140527725219727
1980-02-01,-26.32348946,-19.000256805419923,0.0
1980-02-02,-21.45855453,-16.017961769104005,0.020139310508966446
1980-02-03,-26.12702682,-19.33477523803711,0.0
1980-02-04,-30.61000565,-20.051228790283204,0.0
1980-02-05,-33.42803314,-15.752659111022949,0.07980101555585861
1980-02-06,-28.62493828,-16.628186492919923,0.0306507907807827
1980-02-07,-29.05702904,-15.452624588012695,0.0
1980-02-08,-29.7710965,-18.441245346069337,0.0
1980-02-09,-29.25631073,-14.766913681030273,0.0
1980-02-10,-23.70280197,-13.28837230682373,0.09857133775949478
1980-02-11,-27.46445206,-16.427294998168946,1.9575331211090088
1980-02-12,-33.36575821,-21.52229621887207,0.0
1980-02-13,-32.9717572,-18.821641235351564,0.0
1980-02-14,-30.50743988,-17.23022964477539,0.28077229857444763
1980-02-15,-24.8070195,-19.219002990722657,0.1226031631231308
1980-02-16,-24.30202225,-18.068942337036134,0.1021403819322586
1980-02-17,-25.7358773,-15.330077438354492,0.11928631365299225
1980-02-18,-24.55119446,-13.338168411254882,2.027653932571411
1980-02-19,-27.72151878,-20.624125747680665,0.01828533411026001
1980-02-20,-30.62163284,-18.91889503479004,2.27154278755188
1980-02-21,-31.25454643,-27.260476379394532,0.0
1980-02-22,-31.68600777,-19.521767883300782,0.04637746512889862
1980-02-23,-29.74307755,-21.78909233093262,0.019893266260623932
1980-02-24,-34.38063553,-22.41627815246582,0.06207610294222832
1980-02-25,-41.52882507,-26.941075592041017,0.0
1980-02-26,-38.04200867,-24.078078536987306,1.6620769500732422
1980-02-27,-37.17960861,-22.58268669128418,2.0603206157684326
1980-02-28,-29.77365234,-21.39277770996094,0.11935960501432419
1980-02-29,-30.31483772,-24.2117684173584,0.0
1980-03-01,-32.01689842,-21.624232559204103,0.0
1980-03-02,-25.62669685,-16.45149066925049,2.117304563522339
1980-03-03,-29.80658272,-21.682565002441407,0.0
1980-03-04,-35.74108246,-24.464375762939454,0.0
1980-03-05,-30.31362465,-18.18746307373047,0.0
1980-03-06,-31.19846657,-20.48860290527344,0.06962642818689346
1980-03-07,-37.49076965,-21.694960861206056,1.8782047033309937
1980-03-08,-35.27935913,-23.36759117126465,0.0
1980-03-09,-39.06807068,-19.559943466186525,0.0
1980-03-10,-30.4166272,-9.107692985534667,0.0
1980-03-11,-27.36832169,-15.325787811279296,0.0
1980-03-12,-32.99495819,-23.584454803466798,0.0
1980-03-13,-32.13646439,-10.934882431030273,2.1424694061279297
1980-03-14,-23.0742276,-9.992918281555175,1.8917896747589111
1980-03-15,-29.70768097,-22.71195152282715,0.0
1980-03-16,-35.65708664,-18.525100021362306,0.0
1980-03-17,-26.14411095,-4.780962257385254,4.150464057922363
1980-03-18,-17.47991302,-7.665950565338135,3.2085587978363037
1980-03-19,-23.25664261,-15.310315399169921,0.0010522693628445268
1980-03-20,-26.16536835,-6.0372021484375,0.1338568925857544
1980-03-21,-10.78043297,5.080633373260498,1.186418890953064
1980-03-22,-6.023710995,7.983886451721191,0.027323124930262566
1980-03-23,-11.60770348,-2.6931283760070803,0.0
1980-03-24,-9.599537163,0.40837732076644895,0.0
1980-03-25,-5.174857407,5.477755756378174,0.0
1980-03-26,-5.199361591,3.8826868247985837,0.0
1980-03-27,-10.05878475,-1.4571410703659058,0.0
1980-03-28,-10.73806122,1.246421070098877,3.8274521827697754
1980-03-29,-18.75298622,-6.617713241577149,0.3983839154243469
1980-03-30,-18.49159554,-6.686249523162842,0.0
1980-03-31,-15.638675,-0.05627599239349368,0.0
1980-04-01,-14.00615719,0.8148941707611084,0.0
